zone_id,algorithm,route_id,order_id,merchant_type,demand,serving_vehicle,in_route_position
Z092,SA,1,39,convenience,18.2116463842087,medium,17
Z092,SA,1,48,mall,16.3382272701971,medium,18
Z092,SA,1,49,supermarket,15.9409299622509,medium,19
Z092,SA,1,66,convenience,15.7547227489233,medium,20
Z092,SA,1,54,mall,15.307,medium,21
Z092,SA,1,9,supermarket,14.6906085496034,medium,22
Z092,SA,1,28,convenience,14.5039406571777,medium,23
Z092,SA,1,65,convenience,13.1227652681165,medium,24
Z092,SA,1,62,convenience,12.7272217039934,medium,25
Z092,SA,1,41,mall,11.9083812029053,medium,26
Z092,SA,1,42,mall,11.6106918493003,medium,27
Z092,SA,1,32,convenience,11.5111376602769,medium,28
Z092,SA,1,2,convenience,11.4131787566951,medium,29
Z092,SA,1,50,supermarket,11.089704519365,medium,30
Z092,SA,1,22,supermarket,10.2210919304996,medium,31
Z092,SA,1,47,mall,10.1507428960413,medium,32
Z092,SA,1,6,convenience,10.1337276393723,medium,33
Z092,SA,1,25,convenience,10.1114601697797,medium,34
Z092,SA,1,35,convenience,9.79,medium,35
Z092,SA,1,18,supermarket,9.66553815714426,medium,36
Z092,SA,1,1,mall,9.34453314509122,medium,37
Z092,SA,1,21,supermarket,8.32236343177309,medium,38
Z092,SA,1,53,mall,8.26758636558927,medium,39
Z092,SA,1,57,mall,7.89666748383305,medium,40
Z092,SA,1,24,supermarket,7.82779383767388,medium,41
Z092,SA,1,30,mall,7.57719433923348,medium,42
Z092,SA,1,40,convenience,7.4123869497059,medium,43
Z092,SA,1,60,supermarket,7.25862079134398,medium,44
Z092,SA,1,5,convenience,6.95431205168392,medium,45
Z092,SA,1,38,convenience,6.58674834553195,medium,46
Z092,SA,1,3,convenience,6.44666479200167,medium,47
Z092,SA,1,29,mall,6.16523768705235,medium,48
Z092,SA,1,43,mall,5.5718430717641,medium,49
Z092,SA,1,67,convenience,5.03809995634789,medium,50
Z092,SA,1,59,supermarket,4.87525426588266,medium,51
Z092,SA,1,33,convenience,4.72464957555109,medium,52
Z092,SA,1,70,mall,4.42614647882095,medium,53
Z092,SA,1,44,mall,4.2804972716927,medium,54
Z092,SA,1,36,convenience,4.18627212283608,medium,55
Z092,SA,1,13,convenience,4.08903091623851,medium,56
Z092,SA,1,27,convenience,3.92189116856393,medium,57
Z092,SA,1,12,supermarket,3.34994302684915,medium,58
Z092,SA,1,37,convenience,3.22742697634387,medium,59
Z092,SA,1,61,mall,3.03726471409096,medium,60
Z092,SA,1,63,convenience,2.73433248309779,medium,61
Z092,SA,1,34,convenience,2.71770839618631,medium,62
Z092,SA,1,15,convenience,2.5738920422255,medium,63
Z092,SA,1,8,supermarket,2.55460789218522,medium,64
Z092,SA,1,51,supermarket,2.55163246839064,medium,65
Z092,SA,1,64,convenience,2.29442892149615,medium,66
Z092,SA,1,17,supermarket,2.28167938201534,medium,67
Z092,SA,1,69,mall,2.11391832854511,medium,68
Z092,SA,1,10,supermarket,1.03017274259246,medium,69
Z092,TS,0,0,mall,38.3971190546784,small,0
Z092,TS,1,1,mall,9.34453314509122,small,0
Z092,TS,2,2,convenience,11.4131787566951,small,0
Z092,TS,3,3,convenience,6.44666479200167,small,0
Z092,TS,4,4,convenience,21.1261611249797,small,0
Z092,TS,5,5,convenience,6.95431205168392,small,0
Z092,TS,6,6,convenience,10.1337276393723,small,0
Z092,TS,7,7,convenience,18.3136136475392,small,0
Z092,TS,8,8,supermarket,2.55460789218522,small,0
Z092,TS,9,9,supermarket,14.6906085496034,small,0
Z092,TS,10,10,supermarket,1.03017274259246,small,0
Z092,TS,11,11,supermarket,24.86,small,0
Z092,TS,12,12,supermarket,3.34994302684915,small,0
Z092,TS,13,13,convenience,4.08903091623851,small,0
Z092,TS,14,14,convenience,34.6836081568491,small,0
Z092,TS,15,15,convenience,2.5738920422255,small,0
Z092,TS,16,16,convenience,26.3291582696245,small,0
Z092,TS,17,17,supermarket,2.28167938201534,small,0
Z092,TS,18,18,supermarket,9.66553815714426,small,0
Z092,TS,19,19,supermarket,30.9492391392647,small,0
Z092,TS,20,20,supermarket,47.3778187114393,small,0
Z092,TS,21,21,supermarket,8.32236343177309,small,0
Z092,TS,22,22,supermarket,10.2210919304996,small,0
Z092,TS,23,23,supermarket,20000.0,large,0
Z092,TS,24,24,supermarket,7.82779383767388,small,0
Z092,TS,25,25,convenience,10.1114601697797,small,0
Z092,TS,26,26,convenience,40.8549136526366,small,0
Z092,TS,27,27,convenience,3.92189116856393,small,0
Z092,TS,28,28,convenience,14.5039406571777,small,0
Z092,TS,29,29,mall,6.16523768705235,small,0
Z092,TS,30,30,mall,7.57719433923348,small,0
Z092,TS,31,31,mall,765.26,small,0
Z092,TS,32,32,convenience,11.5111376602769,small,0
Z092,TS,33,33,convenience,4.72464957555109,small,0
