experiment_type,zone_id,algorithm,objective,distance,time,num_routes,improvement,first_stage_obj,second_stage_obj,convergence_score,param_adjustments,adaptation_steps,final_parameters
hybrid,Z001,CW_VNS,6.6262062087565035,0.6262062087565037,0.024004220962524414,6,-0.825168715,0,0,,,,
hybrid,Z001,SA_TS,27.901905359056098,0.9019053590560971,0.267193078994751,27,-11.47364832,0,0,,,,
hybrid,Z001,SA_VNS,6.6262062087565035,0.6262062087565037,0.025005340576171875,6,-1.962269598,0,0,,,,
hybrid,Z083,CW_TS,24.824765585931647,0.8247655859316487,0.21375513076782227,24,-10.21184489,0,0,,,,
hybrid,Z083,CW_VNS,5.369197565842637,0.3691975658426375,0.02164006233215332,5,-1.424941742,0,0,,,,
hybrid,Z083,SA_TS,24.824765585931647,0.8247655859316487,0.2135481834411621,24,-12.25146737,0,0,,,,
hybrid,Z083,SA_VNS,5.369197565842637,0.3691975658426375,0.020216941833496094,5,-1.866079284,0,0,,,,
hybrid,Z078,CW_TS,29.025110324490953,1.025110324490952,0.27892398834228516,28,-11.88707189,0,0,,,,
hybrid,Z078,CW_VNS,6.901315102975518,0.4013151029755185,0.027997255325317383,6,-2.064165576,0,0,,,,
hybrid,Z078,SA_TS,29.025110324490953,1.025110324490952,0.2772855758666992,28,-10.11147137,0,0,,,,
hybrid,Z078,SA_VNS,6.901315102975518,0.4013151029755185,0.027010679244995117,6,-1.641980144,0,0,,,,
hybrid,Z025,CW_TS,10.966878317526417,0.9668783175264174,0.052516937255859375,10,-3.869995776,0,0,,,,
hybrid,Z025,CW_VNS,2.463964493247162,0.46396449324716227,0.004999399185180664,2,-0.094157911,0,0,,,,
hybrid,Z025,SA_TS,10.966878317526417,0.9668783175264174,0.05226874351501465,10,-6.835990533,0,0,,,,
hybrid,Z025,SA_VNS,2.463964493247162,0.46396449324716227,0.004991769790649414,2,-0.760537674,0,0,,,,
hybrid,Z064,CW_TS,24.033976455450595,2.0339764554505955,0.1830763816833496,22,-8.47417969,0,0,,,,
hybrid,Z064,CW_VNS,5.718404138026863,0.7184041380268636,0.018002748489379883,5,-1.254191621,0,0,,,,
hybrid,Z064,SA_TS,24.033976455450595,2.0339764554505955,0.18351411819458008,22,-8.466084695,0,0,,,,
hybrid,Z064,SA_VNS,5.718404138026863,0.7184041380268636,0.01652359962463379,5,-1.252265579,0,0,,,,
hybrid,Z017,CW_TS,4.491864083629336,0.49186408362933604,0.016001462936401367,4,-0.955270731,0,0,,,,
hybrid,Z017,CW_VNS,1.2487877546915347,0.2487877546915347,0.0019979476928710938,1,0.45641317278455706,0,0,,,,
hybrid,Z017,SA_TS,4.491864083629336,0.49186408362933604,0.015997886657714844,4,-2.596979604,0,0,,,,
hybrid,Z017,SA_VNS,1.2487877546915347,0.2487877546915347,0.0019996166229248047,1,0,0,0,,,,
hybrid,Z008,CW_TS,6.772982145080506,0.7729821450805057,0.0260007381439209,6,-1.957053419,0,0,,,,
hybrid,Z008,CW_VNS,2.2796886623928905,0.2796886623928906,0.003004312515258789,2,0.004698224624787236,0,0,,,,
hybrid,Z008,SA_TS,6.772982145080506,0.7729821450805057,0.028211355209350586,6,-1.823785322,0,0,,,,
hybrid,Z008,SA_VNS,2.2796886623928905,0.2796886623928906,0.002999544143676758,2,0.049554355091860285,0,0,,,,
hybrid,Z031,CW_TS,14.009151319147342,0.5091513191473421,0.0791935920715332,13,-5.50165989,0,0,,,,
hybrid,Z031,CW_VNS,3.710178361673504,0.21017836167350396,0.008001565933227539,3,-0.721897158,0,0,,,,
hybrid,Z031,SA_TS,14.009151319147342,0.5091513191473421,0.07856273651123047,13,-6.569001831,0,0,,,,
hybrid,Z031,SA_VNS,3.710178361673504,0.21017836167350396,0.008001327514648438,3,-1.004571596,0,0,,,,
hybrid,Z004,CW_TS,13.033382074130841,0.5333820741308422,0.07100391387939453,12,-5.078828024,0,0,,,,
hybrid,Z004,CW_VNS,3.7027435505150206,0.20274355051502038,0.0069997310638427734,3,-0.726976247,0,0,,,,
hybrid,Z004,SA_TS,13.033382074130841,0.5333820741308422,0.07000041007995605,12,-6.066822564,0,0,,,,
hybrid,Z004,SA_VNS,3.7027435505150206,0.20274355051502038,0.0062448978424072266,3,-1.007662441,0,0,,,,
hybrid,Z093,CW_TS,46.944607517230544,0.9446075172305437,0.6833655834197998,46,-19.27017138,0,0,,,,
hybrid,Z093,CW_VNS,10.477108187955603,0.4771081879556018,0.0676422119140625,10,-3.52390146,0,0,,,,
hybrid,Z093,SA_TS,46.944607517230544,0.9446075172305437,0.6925756931304932,46,-28.86728542,0,0,,,,
hybrid,Z093,SA_VNS,10.477108187955603,0.4771081879556018,0.0688328742980957,10,-5.665787556,0,0,,,,
hybrid,Z074,CW_TS,45.90454530112895,0.9045453011289512,0.6575202941894531,45,-18.60285093,0,0,,,,
hybrid,Z074,CW_VNS,9.535511068023999,0.5355110680239977,0.06380009651184082,9,-3.071997681,0,0,,,,
hybrid,Z074,SA_TS,45.90454530112895,0.9045453011289512,0.6557097434997559,45,-13.41573432,0,0,,,,
hybrid,Z074,SA_VNS,9.535511068023999,0.5355110680239977,0.06117534637451172,9,-1.994505081,0,0,,,,
hybrid,Z087,CW_TS,56.50358085527626,1.503580855276265,0.9652116298675537,55,-22.68562659,0,0,,,,
hybrid,Z087,CW_VNS,11.8222315367714,0.822231536771399,0.0912790298461914,11,-3.955738333,0,0,,,,
hybrid,Z087,SA_TS,56.50358085527626,1.503580855276265,0.9619178771972656,55,-30.03740473,0,0,,,,
hybrid,Z087,SA_VNS,11.8222315367714,0.822231536771399,0.09010553359985352,11,-5.493949224,0,0,,,,
hybrid,Z081,CW_TS,38.75236636930855,0.7523663693085474,0.48958873748779297,38,-16.06145123,0,0,,,,
hybrid,Z081,CW_VNS,8.4831890075731,0.4831890075730999,0.04751873016357422,8,-2.734881999,0,0,,,,
hybrid,Z081,SA_TS,38.75236636930855,0.7523663693085474,0.48394346237182617,38,-13.95962394,0,0,,,,
hybrid,Z081,SA_VNS,8.4831890075731,0.4831890075730999,0.046004533767700195,8,-2.274775949,0,0,,,,
hybrid,Z080,CW_TS,15.893538922515264,0.3935389225152645,0.10204911231994629,15,-6.595725384,0,0,,,,
hybrid,Z080,CW_VNS,3.6637440712998717,0.16374407129987173,0.009000301361083984,3,-0.750950117,0,0,,,,
hybrid,Z080,SA_TS,15.893538922515264,0.3935389225152645,0.09951066970825195,15,-8.19427569,0,0,,,,
hybrid,Z080,SA_VNS,3.6637440712998717,0.16374407129987173,0.009621858596801758,3,-1.119444462,0,0,,,,
hybrid,Z079,CW_TS,21.781683679092165,0.7816836790921655,0.16753792762756348,21,-8.736523782,0,0,,,,
hybrid,Z079,CW_VNS,5.419356191498673,0.41935619149867387,0.017468690872192383,5,-1.422479879,0,0,,,,
hybrid,Z079,SA_TS,21.781683679092165,0.7816836790921655,0.1713111400604248,21,-13.83998746,0,0,,,,
hybrid,Z079,SA_VNS,5.419356191498673,0.41935619149867387,0.01700758934020996,5,-2.692238814,0,0,,,,
hybrid,Z027,CW_TS,50.74136256909254,1.7413625690925403,0.7666053771972656,49,-18.90870503,0,0,,,,
